Fecha,Ingenio,Precioencuestado,Mercado,Tipo Producto
2025-01-09,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pujiltic,886.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-09,Pujiltic,892.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Atencingo,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Atencingo,886.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Atencingo,892.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Casasano,896.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-10,Pablo Machado,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Atencingo,874.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Atencingo,882.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Casasano,884.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Central Progreso,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-13,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Casasano,884.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Central Progreso,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Pablo Machado,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Pujiltic,874.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Pujiltic,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Pujiltic,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-14,Pujiltic,882.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Alianza Popular,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Atencingo,854.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Atencingo,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Atencingo,882.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Casasano,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-15,Pablo Machado,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Alianza Popular,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Atencingo,850.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Atencingo,854.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Atencingo,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Atencingo,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Atencingo,882.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Casasano,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Casasano,890.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Casasano,900.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-16,Pablo Machado,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Alianza Popular,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Atencingo,836.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Atencingo,854.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Atencingo,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Atencingo,862.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Atencingo,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Atencingo,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Casasano,860.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Casasano,870.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Casasano,874.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Casasano,880.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-17,Pablo Machado,876.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Atencingo,828.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Atencingo,836.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Atencingo,862.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
2025-01-20,Atencingo,872.00,DF: Central de Abasto de Iztapalapa DF,Azúcar Estándar
